Year,Day_of_year,410_MHZ,610_MHZ,1415_MHZ,2.70_GHZ,5_GHZ,8.8_GHZ,15_GHZ,245_MHZ
2003.0, 299.0, 476.0, 649.0, 1586.0, 2729.0, 4552.0, 4975.0, 3916.0, 1290.0
2003.0, 302.0, 64437.0, 66120.0, 3932.0, 5638.0, 13564.0, 14974.0, 21240.0, 410023.0
2003.0, 306.0, 7535.0, 5630.0, 7186.0, 10564.0, 12375.0, 16694.0, 40237.0, 25590.0
2003.0, 307.0, 497.0, 640.0, 308.0, 528.0, 734.0, 920.0, 1121.0, 1286.0
2003.0, 308.0, 32477.0, 8147.0, 21411.0, 21671.0, 28010.0, 56020.0, 681.0, 4882.0
2003.0, 324.0, 250.0, 285.0, 592.0, 1157.0, 1200.0, 776.0, 716.0, 2524.0
2003.0, 149.0, 266.0, 129.0, 384.0, 431.0, 1123.0, 1565.0, 1558.0, 854.0
2003.0, 299.0, 473.0, 521.0, 1766.0, 2293.0, 3924.0, 4631.0, 3724.0, 1156.0
2003.0, 301.0, 5184.0, 3461.0, 14033.0, 1873.0, 1185.0, 767.0, 1548.0, 22437.0
2003.0, 302.0, 44046.0, 57441.0, 1859.0, 2814.0, 5129.0, 11930.0, 248.0, 367499.0
2003.0, 306.0, 12931.0, 7167.0, 9533.0, 7903.0, 11582.0, 21199.0, 30880.0, 24343.0
2003.0, 307.0, 219.0, 55.0, 132.0, 384.0, 860.0, 1395.0, 2044.0, 162.0
2003.0, 308.0, 3099.0, 6934.0, 5005.0, 7686.0, 10827.0, 14294.0, 23506.0, 2235.0
2003.0, 169.0, 4004.0, 14016.0, 74.0, 127.0, 176.0, 253.0, 534.0, 860.0
2003.0, 301.0, 37294.0, 31807.0, 20371.0, 14274.0, 43391.0, 57075.0, 48778.0, 497371.0
2003.0, 307.0, 56167.0, 885.0, 1585.0, 4595.0, 10553.0, 14438.0, 16254.0, 3970.0
2003.0, 306.0, 0.0, 2.0, 178.0, 284.0, 541.0, 842.0, 938.0, 0.0
2004.0, 102.0, 594.0, 204.0, 306.0, 1011.0, 711.0, 696.0, 721.0, 131.0
2004.0, 207.0, 326.0, 282.0, 503.0, 795.0, 1218.0, 2396.0, 3453.0, 323.0
2004.0, 256.0, 589.0, 531.0, 1972.0, 2487.0, 3007.0, 1623.0, 1158.0, 854.0
2004.0, 305.0, 343.0, 519.0, 309.0, 328.0, 603.0, 1025.0, 1326.0, 488.0
2004.0, 311.0, 13502.0, 6784.0, 1871.0, 2877.0, 3134.0, 2284.0, 1952.0, 5256.0
2004.0, 102.0, 614.0, 182.0, 303.0, 1064.0, 797.0, 642.0, 634.0, 163.0
2004.0, 207.0, 524.0, 689.0, 211.0, 266.0, 356.0, 354.0, 605.0, 2171.0
2004.0, 263.0, 59.0, 68.0, 222.0, 627.0, 648.0, 408.0, 607.0, 150.0
2004.0, 312.0, 15994.0, 12349.0, 3234.0, 4809.0, 8565.0, 6872.0, 4123.0, 42330.0
2005.0, 15.0, 136910.0, 44501.0, 13311.0, 3107.0, 3210.0, 2750.0, 2138.0, 31666.0
2005.0, 208.0, 339.0, 231.0, 327.0, 895.0, 1611.0, 1472.0, 1134.0, 562.0
2005.0, 234.0, 16050.0, 9493.0, 2272.0, 1792.0, 1880.0, 1600.0, 1270.0, 57649.0
2005.0, 209.0, 94.0, 87.0, 77.0, 151.0, 749.0, 1632.0, 1520.0, 48.0
2005.0, 234.0, 24121.0, 8959.0, 2247.0, 2067.0, 2179.0, 1597.0, 1162.0, 78761.0
2005.0, 234.0, 15163.0, 4702.0, 2670.0, 8379.0, 10242.0, 4215.0, 7020.0, 33929.0
2005.0, 250.0, 3255.0, 3473.0, 12436.0, 26798.0, 16270.0, 12058.0, 21234.0, 2314.0
2005.0, 133.0, 15009.0, 43254.0, 5508.0, 3100.0, 1799.0, 1173.0, 1085.0, 440.0
2005.0, 194.0, 4882.0, 2752.0, 272.0, 2101.0, 5279.0, 5361.0, 6013.0, 6723.0
2005.0, 209.0, 89.0, 73.0, 92.0, 162.0, 957.0, 2013.0, 2842.0, 69.0
2005.0, 234.0, 9668.0, 2091.0, 2947.0, 7225.0, 10043.0, 10088.0, 9012.0, 22955.0
2005.0, 235.0, 2230.0, 1313.0, 4687.0, 3651.0, 3938.0, 2968.0, 2087.0, 4066.0
2005.0, 250.0, 5959.0, 5816.0, 16424.0, 27659.0, 24887.0, 23503.0, 37974.0, 3282.0
2005.0, 251.0, 164.0, 144.0, 1457.0, 1162.0, 1048.0, 1633.0, 3199.0, 223.0
2005.0, 252.0, 843.0, 1400.0, 9298.0, 3841.0, 12217.0, 23073.0, 32096.0, 1173.0
2005.0, 253.0, 264.0, 3393.0, 2027.0, 2327.0, 3890.0, 5022.0, 7119.0, 282.0
2005.0, 17.0, 36471.0, 12237.0, 4093.0, 11966.0, 21705.0, 16628.0, 15523.0, 39537.0
2005.0, 133.0, 19240.0, 30190.0, 4276.0, 3074.0, 1761.0, 1037.0, 914.0, 394.0
2005.0, 194.0, 5394.0, 1821.0, 260.0, 2064.0, 5943.0, 4972.0, 4780.0, 5952.0
2005.0, 208.0, 719.0, 65.0, 308.0, 892.0, 1655.0, 1117.0, 1087.0, 323.0
2005.0, 234.0, 877.0, 1892.0, 1453.0, 7145.0, 12696.0, 10135.0, 8088.0, 10103.0
2005.0, 235.0, 2005.0, 846.0, 3940.0, 3484.0, 3521.0, 1623.0, 1934.0, 3787.0
2006.0, 339.0, 355.0, 318.0, 6033.0, 11301.0, 3670.0, 7652.0, 10422.0, 94498.0
2006.0, 347.0, 17186.0, 102806.0, 110154.0, 44899.0, 3886.0, 7022.0, 11316.0, 98487.0
2006.0, 348.0, 410.0, 1862.0, 55552.0, 2264.0, 1372.0, 2141.0, 2259.0, 1244.0
2006.0, 341.0, 77.0, 70.0, 437.0, 2764.0, 542.0, 399.0, 544.0, 814.0
2006.0, 348.0, 2070.0, 7828.0, 40657.0, 2776.0, 1711.0, 2809.0, 2105.0, 3485.0
2006.0, 341.0, 61.0, 77.0, 407.0, 2089.0, 509.0, 355.0, 587.0, 95.0
2006.0, 339.0, 1008.0, 533.0, 4006.0, 12952.0, 4297.0, 7150.0, 10407.0, 249505.0
2010.0, 226.0, 87.0, 220.0, 122.0, 125.0, 134.0, 225.0, 544.0, 43.0
2010.0, 226.0, 975.0, 7552.0, 120.0, 121.0, 149.0, 257.0, 564.0, 85.0
2011.0, 158.0, 2006.0, 316.0, 389.0, 813.0, 1053.0, 1125.0, 921.0, 6445.0
2011.0, 215.0, 86.0, 67.0, 135.0, 254.0, 412.0, 529.0, 803.0, 256.0
2011.0, 216.0, 2301.0, 4879.0, 568.0, 842.0, 1526.0, 2756.0, 2666.0, 13828.0
2011.0, 221.0, 94024.0, 33011.0, 606.0, 803.0, 1248.0, 1759.0, 1912.0, 13006.0
2011.0, 66.0, 7896.0, 2846.0, 29763.0, 24025.0, 4409.0, 3563.0, 2451.0, 5569.0
2011.0, 215.0, 10319.0, 4566.0, 1739.0, 277.0, 333.0, 388.0, 626.0, 7362.0
2011.0, 158.0, 2173.0, 722.0, 379.0, 822.0, 1031.0, 1141.0, 1023.0, 17.0
2011.0, 216.0, 1521.0, 3227.0, 529.0, 949.0, 704.0, 484.0, 2028.0, 12439.0
2011.0, 221.0, 124544.0, 19341.0, 604.0, 811.0, 1269.0, 1812.0, 2140.0, 19321.0
2011.0, 265.0, 144.0, 816.0, 513.0, 1135.0, 1806.0, 2103.0, 2205.0, 566.0
2012.0, 23.0, 3031.0, 500000.0, 1432.0, 3810.0, 7057.0, 7238.0, 4443.0, 4061.0
2012.0, 138.0, 612.0, 244.0, 2733.0, 666.0, 928.0, 949.0, 814.0, 1500.0
2012.0, 23.0, 6993.0, 1020.0, 2649.0, 5232.0, 9968.0, 9609.0, -1, 2573.0
2012.0, 27.0, 211.0, 442.0, 985.0, 930.0, 1251.0, 1084.0, -1, 1556.0
2012.0, 67.0, 500000.0, 440688.0, -1.0, 7383.0, 12723.0, -1.0, -1, 288425.0
2012.0, 67.0, 500000.0, 419777.0, 5414.0, 5631.0, 11743.0, 20696.0, -1, 455272.0
2012.0, 73.0, 184.0, 540.0, 764.0, 1109.0, 2993.0, 5302.0, -1, 583.0
2012.0, 138.0, 558.0, 208.0, 1443.0, 726.0, 766.0, 849.0, -1, 1406.0
2012.0, 188.0, 29.0, 52.0, 383.0, 669.0, 1028.0, 2261.0, -1.0, 67.0
2012.0, 194.0, 2.0, 8.0, 1537.0, 966.0, 691.0, 787.0, -1.0, -1.0
2012.0, 27.0, 245.0, 378.0, 774.0, 932.0, 1137.0, 803.0, 694.0, 1188.0
2012.0, 73.0, 387.0, 2075.0, 621.0, 1574.0, 3109.0, 4436.0, 1596.0, 1316.0
2012.0, 194.0, 6702.0, 2528.0, 1234.0, 961.0, 681.0, 766.0, 882.0, 3987.0
2012.0, 67.0, 122.0, 76277.0, 119.0, 188.0, 173.0, 290.0, 516.0, 265.0
2012.0, 166.0, 916.0, 1444.0, 1921.0, 1469.0, 1052.0, 879.0, 769.0, 864.0
2013.0, 74.0, 20990.0, 23485.0, 428.0, 246.0, 216.0, 336.0, 571.0, 433.0
2013.0, 101.0, 393.0, 905.0, 3204.0, 610.0, 487.0, 513.0, 671.0, 2746.0
2013.0, 135.0, 283.0, 320.0, 419.0, 588.0, 1252.0, 1764.0, 1518.0, 457.0
2013.0, 172.0, 3566.0, 6860.0, 1565.0, 6201.0, 287.0, 390.0, 638.0, 1397.0
2013.0, 135.0, 228.0, 299.0, 413.0, 641.0, 1518.0, 1783.0, 1550.0, 425.0
2013.0, 172.0, 3951.0, 7045.0, 1523.0, 5548.0, 285.0, 380.0, 591.0, 1546.0
2013.0, 74.0, 18789.0, 63058.0, 423.0, 270.0, 212.0, 336.0, 573.0, 331.0
2014.0, 7.0, 59.0, 84.0, 168.0, 597.0, 3367.0, 5321.0, 4451.0, 135.0
2014.0, 51.0, 215.0, 162.0, 284.0, 535.0, 616.0, 554.0, 700.0, 276.0
2014.0, 56.0, 29018.0, 3550.0, 3822.0, 3914.0, 5499.0, 9984.0, 21314.0, 105505.0
2014.0, 7.0, 863.0, 2677.0, 1173.0, 10999.0, 2669.0, 2418.0, 1798.0, 693.0
2014.0, 56.0, 35058.0, 2733.0, 3956.0, 3931.0, 6522.0, 13449.0, 20987.0, 123453.0
2014.0, 7.0, 787.0, 2840.0, 1104.0, 8509.0, 2468.0, 2252.0, 1643.0, 7301.0
2015.0, 172.0, 456.0, 581.0, 736.0, 640.0, 990.0, 1963.0, 1210.0, 1049.0
2015.0, 169.0, 209.0, 280.0, 1243.0, 2362.0, 2522.0, 2049.0, 1537.0, 279.0
2015.0, 172.0, 174.0, 222.0, 366.0, 544.0, 1092.0, 1916.0, 1374.0, 475.0
2017.0, 195.0, 2247.0, 2175.0, -1.0, 576.0, 427.0, 387.0, 640.0, 1809.0
2017.0, 253.0, 1012.0, 500000.0, 2147.0, 2086.0, 3660.0, 10715.0, 25549.0, 954.0
2015.0, 176.0, 491.0, 993.0, 14279.0, 3990.0, 5505.0, 10398.0, 6191.0, 1099.0
2014.0, 253.0, 4407.0, 6692.0, 747.0, 1462.0, 3199.0, 2755.0, 1957.0, 2459.0
2014.0, 108.0, 2381.0, 1060.0, 1440.0, 1176.0, 1306.0, 1183.0, 1039.0, 1905.0
2014.0, 253.0, 5740.0, 6765.0, 767.0, 1529.0, 2989.0, 2785.0, 1939.0, 3843.0
2014.0, 108.0, 2157.0, 73005.0, 1549.0, 1176.0, 1389.0, 1137.0, 957.0, 1624.0
2000.0, 158.0, 7600.0, 18000.0,1400.0, 2300.0, 2800.0, 3400.0, 1600.0, 4300
2000.0,162,48,4800,1400,550,750,380,160,110
2000.0,313,42,21,420,710,440,240,160,40
2000.0,329.0,5100,1500,9200,2200,1300,3500,5500,7200
2000.0, 299.0, 372188.0, 383714.0, 83216.0, 43328.0, 35769.0, 42073.0, 41411.0, 324724.0
2001.0,28.0,4100,2400,96,130,37,39,42,690
2001.0, 29.0, 3721.0, 2369.0, 222.0, 263.0, 217.0, 315.0, 574.0, 680.0
2001.0,105.0,1500,2700,54000,48000,2400,1500,5100,61000
2001.0,108.0,4500,62,340,570,470,160,79,1800
2001.0,116.0,1300,420,2700,360,540,910,610,1700
2001.0,166.0,750,200,360,260,190,100,49,5000
2001.0,267.0,1700,3400,4300,7500,22000,23000,15000,1900
2001.0,274.0,120,190,41,69,94,130,38,450
2005.0,167.0,58,64,91,170,410,240,110,53.0
2005.0,194.0,4800,2700,210,2000,5100,5100,5400,6600
1997.0,308.0,3000,780,500,690,800,1000,1600,9800
2000.0, 158.0, -1, 80.0, 172.0, 730.0, 346.0, 765.0, 961.0, -1
2001.0, 223.0, 5509.0, 216.0, 348.0, 172.0, 249.0, 335.0, 553.0, 1015.0
2001.0, 221.0, 33.0, 56.0, 108.0, 189.0, 214.0, 312.0, 545.0, 1212.0
2001.0, 326.0, 3203.0, 3568.0, 46393.0, 8616.0, 1324.0, 1122.0, 768.0, 2803.0
2001.0, 362.0, 105.0, 113.0, 534.0, 1909.0, 3285.0, 1441.0, 2054.0, 849.0





